PR ID,PR URL,Final Pattern,Final Sub Pattern,Label Source
2766896431,https://github.com/onlook-dev/onlook/pull/982,Build & Compilation & Infrastructure Optimization,Performance-Optimized Dependency Selection,manual_review
2843312341,https://github.com/promptfoo/promptfoo/pull/3046,Memory and Data Locality Optimizations,Caching,manual_review
2843334531,https://github.com/promptfoo/promptfoo/pull/3047,Memory and Data Locality Optimizations,Caching,manual_review
2855302194,https://github.com/pdfme/pdfme/pull/711,Memory and Data Locality Optimizations,Caching,llm_agreement
2859989652,https://github.com/wolfSSL/wolfssh/pull/779,Algorithm-Level Optimizations,Event-Driven Throttling,llm_agreement
2887787232,https://github.com/stack-auth/stack-auth/pull/495,"Network, Database, and Data Access Optimization",Lazy Loading / Deferred Initialization,manual_review
2920983723,https://github.com/Cap-go/capgo/pull/1066,"Network, Database, and Data Access Optimization",Batch API Requests (N+1),llm_agreement
2926188053,https://github.com/onlook-dev/onlook/pull/1630,Build & Compilation & Infrastructure Optimization,Performance-Optimized Dependency Selection,llm_agreement
2927184629,https://github.com/onlook-dev/onlook/pull/1634,Algorithm-Level Optimizations,Event-Driven Throttling,manual_review
2973653748,https://github.com/magiclabs/magic-js/pull/874,Build & Compilation & Infrastructure Optimization,Performance-Optimized Dependency Selection,manual_review
2991070962,https://github.com/calcom/cal.com/pull/20676,Memory and Data Locality Optimizations,Caching,llm_agreement
3006445782,https://github.com/saturday06/VRM-Addon-for-Blender/pull/795,Memory and Data Locality Optimizations,Caching,llm_agreement
3006507938,https://github.com/saturday06/VRM-Addon-for-Blender/pull/796,Memory and Data Locality Optimizations,Caching,manual_review
3006534682,https://github.com/saturday06/VRM-Addon-for-Blender/pull/797,Memory and Data Locality Optimizations,Caching,llm_agreement
3006544045,https://github.com/saturday06/VRM-Addon-for-Blender/pull/798,Memory and Data Locality Optimizations,Caching,llm_agreement
3006562482,https://github.com/saturday06/VRM-Addon-for-Blender/pull/800,Memory and Data Locality Optimizations,Caching,llm_agreement
3033566586,https://github.com/calcom/cal.com/pull/21048,Memory and Data Locality Optimizations,Caching,llm_agreement
3033886992,https://github.com/calcom/cal.com/pull/21052,Memory and Data Locality Optimizations,Caching,llm_agreement
