PR ID,PR URL,Ricardo_Pattern,Ricardo_Sub_Pattern,Huiyun_Pattern,Huiyun_Sub_Pattern,Final_Pattern,Final_Sub_Pattern
3254647682,https://github.com/JuliaLang/julia/pull/59071,Code Smells and Structural Simplification,Type Checking,Code Smells and Structural Simplification,Remove code bloat by removing optional features,Algorithm-Level Optimizations,Select Algorithm Based on Instruction Speed
3074606452,https://github.com/robertpenner/as3-signals/pull/74,Data Structure Selection and Adaptation,Darwinian Data Structure Selection,Data Structure Selection and Adaptation,Darwinian Data Structure Selection,Data Structure Selection and Adaptation,Darwinian Data Structure Selection
3146327522,https://github.com/microsoft/onnxruntime/pull/25061,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms,Algorithm-Level Optimizations,Select Computationally Efficient Algorithms
3076655992,https://github.com/demergent-labs/azle/pull/3058,Memory and Data Locality Optimizations,Use Smaller Data Types,No Meaningful Change or Not Performance PR,,Memory and Data Locality Optimizations,Use Smaller Data Types
3137892942,https://github.com/primer/react/pull/6197,Build & Compilation & Infrastructure Optimization,Reduce rebuilding size,Build & Compilation & Infrastructure Optimization,Performance-Optimized Dependency Selection,Build & Compilation & Infrastructure Optimization,Reduce rebuilding size
3096236895,https://github.com/microsoft/HydraLab/pull/694,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,
3120627194,https://github.com/dotnet/msbuild/pull/11953,Code Smells and Structural Simplification,Remove Unnecessary Method Calls,Code Smells and Structural Simplification,Remove Unnecessary Method Calls,Code Smells and Structural Simplification,Remove Unnecessary Method Calls
3219696751,https://github.com/dotnet/aspnetcore/pull/62661,Memory and Data Locality Optimizations,Caching,Memory and Data Locality Optimizations,Caching,Memory and Data Locality Optimizations,Caching
3193183157,https://github.com/Z3Prover/z3/pull/7710,Control-Flow and Branching Optimizations,Rearranging for early return,Control-Flow and Branching Optimizations,Rearranging for early return,Control-Flow and Branching Optimizations,Rearranging for early return
3246365675,https://github.com/mochilang/mochi/pull/10824,Loop Transformations,Loop Invariant Branches,Loop Transformations,Loop Invariant Branches,Loop Transformations,Loop Invariant Branches
3246432388,https://github.com/mochilang/mochi/pull/10855,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,,No Meaningful Change or Not Performance PR,
3152227912,https://github.com/mochilang/mochi/pull/1268,Code Smells and Structural Simplification,Type Checking,Data Structure Selection and Adaptation,Darwinian Data Structure Selection,Memory and Data Locality Optimizations,Caching
3128593850,https://github.com/phellipeandrade/rbac/pull/42,Memory and Data Locality Optimizations,Optimize Object Use,Memory and Data Locality Optimizations,Caching,Memory and Data Locality Optimizations,Optimize Object Use
3107237879,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/1332,Memory and Data Locality Optimizations,Caching,Multiple Changes,,I/O and Synchronization,Enable Multi-threading
